county,date,time,type,mag,dth,inj,prd,crd
QUEENS CO.,09/16/2010,    16:45,Thunderstorm Wind,61  kts. EG,0,0,0.00K,0.00K
QUEENS CO.,09/16/2010,    16:45,Thunderstorm Wind,61  kts. EG,0,0,0.00K,0.00K
QUEENS CO.,09/16/2010,    16:45,Thunderstorm Wind,61  kts. EG,0,0,0.00K,0.00K
QUEENS CO.,09/16/2010,    16:45,Thunderstorm Wind,61  kts. EG,0,0,0.00K,0.00K
QUEENS CO.,09/16/2010,    16:50,Thunderstorm Wind,61  kts. EG,0,0,0.00K,0.00K
RICHMOND CO.,09/22/2010,    19:30,Thunderstorm Wind,52  kts. EG,0,0,5.00K,0.00K
QUEENS CO.,09/22/2010,    19:54,Thunderstorm Wind,52  kts. EG,0,0,2.00K,0.00K
NEW YORK CO.,10/01/2010,    05:00,Flash Flood,,0,0,0.00K,0.00K
KINGS CO.,10/01/2010,    05:50,Flood,,0,0,0.00K,0.00K
BRONX CO.,10/01/2010,    06:06,Flood,,0,0,0.00K,0.00K
NEW YORK CO.,10/01/2010,    06:30,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,10/01/2010,    07:00,Flood,,0,0,0.00K,0.00K
KINGS CO.,10/11/2010,    19:45,Flash Flood,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),11/17/2010,    14:00,Strong Wind,45  kts. MG,0,1,0.75K,0.00K
NEW YORK (MANHATTAN) (ZONE),12/26/2010,    11:00,Blizzard,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),12/26/2010,    11:00,Blizzard,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),12/26/2010,    11:00,Blizzard,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),12/26/2010,    11:00,Blizzard,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),12/26/2010,    11:00,Blizzard,,0,0,0.00K,0.00K
BRONX (ZONE),12/26/2010,    11:00,Blizzard,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),01/11/2011,    20:00,Heavy Snow,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),01/11/2011,    20:00,Heavy Snow,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),01/11/2011,    21:00,Heavy Snow,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),01/11/2011,    21:00,Heavy Snow,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),01/11/2011,    21:00,Heavy Snow,,0,0,0.00K,0.00K
BRONX (ZONE),01/11/2011,    21:00,Heavy Snow,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),01/26/2011,    07:30,Heavy Snow,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),01/26/2011,    07:30,Heavy Snow,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),01/26/2011,    07:30,Heavy Snow,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),01/26/2011,    07:30,Heavy Snow,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),01/26/2011,    07:30,Heavy Snow,,0,0,0.00K,0.00K
BRONX (ZONE),01/26/2011,    08:00,Heavy Snow,,0,0,0.00K,0.00K
BRONX (ZONE),02/01/2011,    01:00,Ice Storm,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),02/01/2011,    01:00,Ice Storm,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),02/01/2011,    01:00,Ice Storm,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),02/19/2011,    05:00,High Wind,51  kts. EG,0,0,100.00K,0.00K
SOUTHERN QUEENS (ZONE),02/19/2011,    10:00,High Wind,52  kts. EG,0,0,100.00K,0.00K
SOUTHERN QUEENS (ZONE),04/16/2011,    17:18,Coastal Flood,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),04/16/2011,    18:30,Coastal Flood,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),04/16/2011,    18:42,Coastal Flood,,0,0,0.00K,0.00K
NEW YORK CO.,04/17/2011,    20:05,Lightning,,0,0,10.00K,0.00K
SOUTHERN QUEENS (ZONE),05/16/2011,    19:30,Coastal Flood,,0,0,0.00K,0.00K
NEW YORK CO.,06/17/2011,    14:00,Hail,0.88  in.,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),07/21/2011,    10:00,Excessive Heat,,7,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),07/21/2011,    10:00,Excessive Heat,,2,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),07/21/2011,    10:00,Excessive Heat,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),07/21/2011,    10:00,Excessive Heat,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),07/21/2011,    10:00,Excessive Heat,,4,0,0.00K,0.00K
BRONX (ZONE),07/21/2011,    10:00,Excessive Heat,,6,0,0.00K,0.00K
KINGS CO.,07/29/2011,    18:39,Thunderstorm Wind,52  kts. EG,0,0,1.50K,0.00K
QUEENS CO.,08/01/2011,    14:55,Hail,2.00  in.,0,0,1.00K,0.00K
BRONX CO.,08/01/2011,    18:21,Hail,1.25  in.,0,0,0.00K,0.00K
QUEENS CO.,08/01/2011,    18:36,Hail,2.75  in.,0,0,3.00K,0.00K
