county,date,time,type,mag,dth,inj,prd,crd
NORTHERN QUEENS (ZONE),01/21/2014,    08:45,Heavy Snow,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),02/03/2014,    03:30,Heavy Snow,,0,0,0.00K,0.00K
BRONX (ZONE),02/03/2014,    03:30,Heavy Snow,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),02/03/2014,    03:45,Heavy Snow,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),02/03/2014,    05:00,Heavy Snow,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),02/03/2014,    05:00,Heavy Snow,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),02/03/2014,    06:00,Heavy Snow,,0,0,0.00K,0.00K
BRONX (ZONE),02/05/2014,    01:15,Heavy Snow,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),02/05/2014,    01:15,Winter Storm,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),02/13/2014,    00:30,Heavy Snow,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),02/13/2014,    00:30,Heavy Snow,,0,0,0.00K,0.00K
BRONX (ZONE),02/13/2014,    00:30,Winter Storm,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),02/13/2014,    00:30,Winter Storm,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),02/13/2014,    00:30,Heavy Snow,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),02/13/2014,    00:30,Heavy Snow,,0,0,0.00K,0.00K
QUEENS CO.,03/30/2014,    17:02,Lightning,,0,0,5.00K,0.00K
QUEENS CO.,04/30/2014,    20:45,Flood,,0,0,0.00K,0.00K
KINGS CO.,04/30/2014,    21:05,Flood,,0,0,0.00K,0.00K
BRONX CO.,04/30/2014,    22:15,Flood,,0,0,0.00K,0.00K
BRONX CO.,05/01/2014,    00:00,Flood,,0,0,0.00K,0.00K
QUEENS CO.,05/10/2014,    17:30,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,05/16/2014,    21:53,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,05/16/2014,    22:16,Flash Flood,,0,0,0.00K,0.00K
RICHMOND CO.,06/13/2014,    17:35,Flash Flood,,0,0,0.00K,0.00K
KINGS CO.,06/13/2014,    17:42,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,06/13/2014,    17:50,Flash Flood,,0,0,0.00K,0.00K
KINGS CO.,07/02/2014,    19:15,Flash Flood,,0,0,0.00K,0.00K
NEW YORK CO.,07/03/2014,    18:45,Thunderstorm Wind,52  kts. EG,0,0,3.00K,0.00K
NEW YORK CO.,07/03/2014,    19:25,Thunderstorm Wind,52  kts. EG,0,0,2.00K,0.00K
BRONX CO.,07/03/2014,    19:40,Flash Flood,,0,0,0.00K,0.00K
RICHMOND CO.,07/08/2014,    20:40,Thunderstorm Wind,52  kts. EG,0,0,2.00K,0.00K
RICHMOND CO.,07/08/2014,    20:53,Thunderstorm Wind,52  kts. EG,0,0,2.00K,0.00K
NEW YORK CO.,07/08/2014,    21:00,Thunderstorm Wind,52  kts. EG,0,0,4.00K,0.00K
BRONX CO.,07/15/2014,    14:48,Flash Flood,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),07/22/2014,    16:00,Rip Current,,1,0,0.00K,0.00K
RICHMOND CO.,07/23/2014,    19:56,Thunderstorm Wind,52  kts. EG,0,0,3.00K,0.00K
BRONX CO.,08/31/2014,    15:50,Lightning,,0,2,0.00K,0.00K
BRONX CO.,08/31/2014,    16:08,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,09/06/2014,    15:30,Thunderstorm Wind,52  kts. EG,0,0,0.00K,0.00K
KINGS CO.,10/22/2014,    03:45,Flash Flood,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),10/22/2014,    20:00,Strong Wind,27  kts. MS,0,0,20.00K,0.00K
NORTHERN QUEENS (ZONE),11/02/2014,    02:00,Strong Wind,41  kts. MG,0,0,20.00K,0.00K
SOUTHERN QUEENS (ZONE),11/02/2014,    04:00,Strong Wind,46  kts. MG,0,0,20.00K,0.00K
KINGS CO.,11/17/2014,    14:32,Thunderstorm Wind,52  kts. EG,0,0,1.00K,0.00K
NORTHERN QUEENS (ZONE),12/09/2014,    11:00,Strong Wind,38  kts. MG,0,0,10.00K,0.00K
SOUTHERN QUEENS (ZONE),12/09/2014,    11:00,Strong Wind,41  kts. MG,0,0,10.00K,0.00K
NORTHERN QUEENS (ZONE),12/24/2014,    18:00,Dense Fog,,0,0,1.000M,0.00K
SOUTHERN QUEENS (ZONE),12/24/2014,    18:00,Dense Fog,,0,0,1.000M,0.00K
NORTHERN QUEENS (ZONE),01/18/2015,    06:00,Winter Weather,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),01/18/2015,    06:00,Winter Weather,,0,0,0.00K,0.00K
BRONX (ZONE),01/18/2015,    06:00,Winter Weather,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),01/18/2015,    06:00,Winter Weather,,0,0,0.00K,0.00K
BRONX (ZONE),01/26/2015,    08:00,Winter Storm,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),01/26/2015,    08:00,Winter Storm,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),01/26/2015,    08:00,Winter Storm,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),01/26/2015,    08:00,Winter Storm,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),01/26/2015,    08:00,Winter Storm,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),01/26/2015,    08:00,Winter Storm,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),01/30/2015,    18:00,Strong Wind,31  kts. MS,0,0,10.00K,0.00K
SOUTHERN QUEENS (ZONE),01/30/2015,    19:00,Strong Wind,33  kts. MS,0,0,10.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),02/01/2015,    21:00,Heavy Snow,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),02/01/2015,    21:00,Heavy Snow,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),02/01/2015,    21:00,Heavy Snow,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),02/01/2015,    21:00,Heavy Snow,,0,0,0.00K,0.00K
BRONX (ZONE),02/01/2015,    21:00,Heavy Snow,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),02/01/2015,    21:00,Heavy Snow,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),02/15/2015,    02:00,Strong Wind,43  kts. MG,0,0,10.00K,0.00K
NORTHERN QUEENS (ZONE),02/15/2015,    09:00,Strong Wind,42  kts. MG,0,0,10.00K,0.00K
BRONX (ZONE),03/01/2015,    13:00,Winter Weather,,0,0,0.00K,0.00K
BRONX (ZONE),03/05/2015,    03:30,Heavy Snow,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),03/05/2015,    04:00,Heavy Snow,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),03/05/2015,    04:00,Heavy Snow,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),03/05/2015,    04:30,Heavy Snow,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),03/05/2015,    04:30,Heavy Snow,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),03/05/2015,    04:30,Heavy Snow,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),03/17/2015,    17:00,Strong Wind,46  kts. MG,0,0,10.00K,0.00K
SOUTHERN QUEENS (ZONE),04/02/2015,    14:00,Strong Wind,29  kts. MS,0,0,10.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),04/04/2015,    09:00,Strong Wind,30  kts. MS,0,0,10.00K,0.00K
SOUTHERN QUEENS (ZONE),04/04/2015,    10:00,Strong Wind,28  kts. MS,0,0,10.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),04/04/2015,    11:00,Strong Wind,29  kts. MS,0,0,10.00K,0.00K
NORTHERN QUEENS (ZONE),04/04/2015,    12:00,Strong Wind,27  kts. MS,0,0,10.00K,0.00K
QUEENS CO.,04/22/2015,    14:58,Thunderstorm Wind,52  kts. EG,0,0,1.50K,0.00K
RICHMOND CO.,05/31/2015,    17:30,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,05/31/2015,    19:00,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,06/23/2015,    17:20,Thunderstorm Wind,52  kts. EG,0,0,0.00K,0.00K
QUEENS CO.,06/23/2015,    17:22,Thunderstorm Wind,61  kts. EG,0,0,22.50K,0.00K
KINGS CO.,07/15/2015,    11:01,Flash Flood,,0,0,0.00K,0.00K
KINGS CO.,07/15/2015,    11:30,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,07/30/2015,    13:54,Thunderstorm Wind,52  kts. EG,0,0,20.00K,0.00K
QUEENS CO.,07/30/2015,    13:57,Thunderstorm Wind,61  kts. EG,0,0,10.00K,0.00K
QUEENS CO.,07/30/2015,    13:57,Thunderstorm Wind,52  kts. EG,0,0,2.00K,0.00K
BRONX CO.,07/30/2015,    14:04,Flash Flood,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),08/15/2015,    16:00,Rip Current,,1,0,0.00K,0.00K
QUEENS CO.,08/21/2015,    03:00,Heavy Rain,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),12/23/2015,    04:00,Dense Fog,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),12/23/2015,    07:00,Dense Fog,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),12/24/2015,    00:00,Dense Fog,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),12/27/2015,    05:00,Dense Fog,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),01/10/2016,    07:00,Coastal Flood,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),01/22/2016,    22:30,Winter Storm,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),01/22/2016,    23:00,Winter Storm,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),01/22/2016,    23:15,Winter Storm,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),01/22/2016,    23:30,Winter Storm,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),01/22/2016,    23:30,Winter Storm,,0,0,0.00K,0.00K
BRONX (ZONE),01/23/2016,    00:00,Winter Storm,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),01/23/2016,    07:00,Blizzard,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),01/23/2016,    07:00,Blizzard,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),01/23/2016,    07:00,Blizzard,,0,0,0.00K,0.00K
BRONX (ZONE),01/23/2016,    07:00,Blizzard,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),01/23/2016,    07:00,Blizzard,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),01/23/2016,    07:00,Blizzard,,0,0,0.00K,0.00K
BRONX (ZONE),01/23/2016,    08:36,Coastal Flood,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),01/23/2016,    08:36,Coastal Flood,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),02/08/2016,    06:00,Coastal Flood,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),02/09/2016,    07:00,Coastal Flood,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),02/16/2016,    10:00,Strong Wind,35  kts. MG,0,2,30.00K,0.00K
SOUTHERN QUEENS (ZONE),02/16/2016,    11:00,Strong Wind,48  kts. MG,0,0,100.00K,0.00K
NORTHERN QUEENS (ZONE),02/16/2016,    11:00,Strong Wind,44  kts. MG,0,0,100.00K,0.00K
QUEENS CO.,02/16/2016,    14:26,Thunderstorm Wind,52  kts. EG,0,0,0.50K,0.00K
NORTHERN QUEENS (ZONE),02/24/2016,    19:00,Strong Wind,48  kts. MG,0,0,50.00K,0.00K
BRONX (ZONE),02/24/2016,    20:00,Strong Wind,48  kts. MG,0,0,100.00K,0.00K
KINGS (BROOKLYN) (ZONE),02/24/2016,    20:00,Strong Wind,48  kts. EG,0,0,100.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),02/24/2016,    20:00,Strong Wind,48  kts. MG,0,0,100.00K,0.00K
SOUTHERN QUEENS (ZONE),02/24/2016,    22:00,High Wind,53  kts. MG,0,0,10.00K,0.00K
SOUTHERN QUEENS (ZONE),02/24/2016,    23:00,Strong Wind,47  kts. MG,0,0,20.00K,0.00K
KINGS (BROOKLYN) (ZONE),03/28/2016,    17:00,Strong Wind,45  kts. MG,0,1,200.00K,0.00K
SOUTHERN QUEENS (ZONE),03/29/2016,    00:00,Strong Wind,45  kts. MG,0,0,10.00K,0.00K
SOUTHERN QUEENS (ZONE),04/03/2016,    03:00,High Wind,56  kts. MG,0,0,100.00K,0.00K
NORTHERN QUEENS (ZONE),04/03/2016,    03:00,High Wind,56  kts. MG,0,0,100.00K,0.00K
BRONX (ZONE),04/03/2016,    04:00,High Wind,56  kts. MG,0,0,100.00K,0.00K
KINGS (BROOKLYN) (ZONE),04/03/2016,    05:00,High Wind,56  kts. MG,0,0,200.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),04/03/2016,    07:00,High Wind,39  kts. MS,0,0,20.00K,0.00K
BRONX CO.,06/05/2016,    17:37,Thunderstorm Wind,52  kts. EG,0,0,1.25K,0.00K
QUEENS CO.,07/14/2016,    15:37,Thunderstorm Wind,52  kts. EG,0,0,5.00K,0.00K
KINGS CO.,07/18/2016,    16:02,Thunderstorm Wind,52  kts. EG,0,0,1.00K,0.00K
KINGS CO.,07/18/2016,    16:05,Thunderstorm Wind,52  kts. EG,0,0,5.00K,0.00K
QUEENS CO.,07/25/2016,    15:29,Thunderstorm Wind,52  kts. EG,0,0,1.50K,0.00K
QUEENS CO.,07/25/2016,    16:06,Lightning,,0,0,10.00K,0.00K
QUEENS CO.,07/25/2016,    16:10,Lightning,,0,0,20.00K,0.00K
QUEENS CO.,07/25/2016,    16:12,Flash Flood,,0,0,0.00K,0.00K
KINGS CO.,07/25/2016,    16:41,Thunderstorm Wind,52  kts. EG,0,0,2.50K,0.00K
KINGS CO.,07/25/2016,    17:08,Thunderstorm Wind,52  kts. EG,0,0,1.50K,0.00K
QUEENS CO.,07/25/2016,    17:45,Flash Flood,,0,0,0.00K,0.00K
KINGS CO.,07/25/2016,    18:20,Flash Flood,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),08/11/2016,    15:00,Excessive Heat,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),08/11/2016,    15:00,Excessive Heat,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),08/12/2016,    12:00,Excessive Heat,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),08/12/2016,    13:00,Excessive Heat,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),08/13/2016,    10:00,Excessive Heat,,0,0,0.00K,0.00K
BRONX (ZONE),08/13/2016,    10:00,Excessive Heat,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),08/13/2016,    11:00,Excessive Heat,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),08/13/2016,    12:00,Excessive Heat,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),08/14/2016,    13:00,Excessive Heat,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),11/21/2016,    04:00,Strong Wind,44  kts. MG,0,0,50.00K,0.00K
NORTHERN QUEENS (ZONE),11/22/2016,    08:00,Strong Wind,48  kts. MG,0,0,50.00K,0.00K
SOUTHERN QUEENS (ZONE),12/15/2016,    11:00,Strong Wind,44  kts. MG,0,0,50.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),01/07/2017,    08:00,Winter Weather,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),01/07/2017,    08:30,Winter Weather,,0,0,0.00K,0.00K
BRONX (ZONE),01/07/2017,    09:00,Heavy Snow,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),01/07/2017,    09:00,Heavy Snow,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),01/07/2017,    09:00,Heavy Snow,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),01/07/2017,    09:00,Heavy Snow,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),01/23/2017,    09:00,High Wind,37  kts. MS,0,0,50.00K,0.00K
KINGS (BROOKLYN) (ZONE),01/23/2017,    21:00,High Wind,36  kts. MS,0,0,50.00K,0.00K
SOUTHERN QUEENS (ZONE),01/24/2017,    00:00,High Wind,35  kts. MS,0,0,50.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),02/09/2017,    03:30,Winter Storm,,0,0,0.00K,0.00K
BRONX (ZONE),02/09/2017,    04:00,Winter Storm,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),02/09/2017,    04:00,Winter Storm,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),02/09/2017,    04:00,Winter Storm,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),02/09/2017,    04:00,Winter Storm,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),02/09/2017,    04:00,Winter Storm,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),02/13/2017,    09:00,High Wind,53  kts. MG,0,0,100.00K,0.00K
BRONX (ZONE),02/13/2017,    09:00,High Wind,35  kts. MS,0,0,50.00K,0.00K
KINGS (BROOKLYN) (ZONE),02/13/2017,    09:00,High Wind,39  kts. MS,0,0,50.00K,0.00K
SOUTHERN QUEENS (ZONE),02/13/2017,    11:00,High Wind,54  kts. MG,0,0,100.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),03/02/2017,    05:00,Strong Wind,49  kts. MG,0,0,100.00K,0.00K
SOUTHERN QUEENS (ZONE),03/02/2017,    06:00,Strong Wind,47  kts. MG,0,0,30.00K,0.00K
NORTHERN QUEENS (ZONE),03/02/2017,    06:00,Strong Wind,47  kts. MG,0,0,30.00K,0.00K
SOUTHERN QUEENS (ZONE),03/14/2017,    00:30,Winter Storm,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),03/14/2017,    00:30,Winter Storm,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),03/14/2017,    00:30,Winter Storm,,0,0,0.00K,0.00K
BRONX (ZONE),03/14/2017,    00:30,Winter Storm,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),03/14/2017,    01:00,Winter Storm,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),03/22/2017,    08:00,Strong Wind,46  kts. MG,0,0,10.00K,0.00K
KINGS (BROOKLYN) (ZONE),03/22/2017,    09:00,Strong Wind,33  kts. MS,0,0,50.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),03/22/2017,    09:00,Strong Wind,30  kts. MS,0,0,10.00K,0.00K
RICHMOND CO.,05/05/2017,    10:45,Flash Flood,,0,0,0.00K,0.00K
NEW YORK CO.,05/05/2017,    12:40,Flash Flood,,0,0,0.00K,0.00K
NEW YORK CO.,05/05/2017,    12:51,Flash Flood,,0,0,0.00K,0.00K
