Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct
335206,Juggling,09/15/2017 12:00:00 PM,09/15/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,09/18/2017 12:00:00 PM,09/18/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,09/19/2017 12:00:00 PM,09/19/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,09/20/2017 12:00:00 PM,09/20/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,09/21/2017 12:00:00 PM,09/21/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,09/22/2017 12:00:00 PM,09/22/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,09/25/2017 12:00:00 PM,09/25/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,09/26/2017 12:00:00 PM,09/26/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,09/27/2017 12:00:00 PM,09/27/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,09/28/2017 12:00:00 PM,09/28/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,09/29/2017 12:00:00 PM,09/29/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,10/02/2017 12:00:00 PM,10/02/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,10/03/2017 12:00:00 PM,10/03/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,10/04/2017 12:00:00 PM,10/04/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
335206,Juggling,10/05/2017 12:00:00 PM,10/05/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,Bryant Park: Bryant Park ,,N/A,"5, ","14, "
340447,Fan Fest 5K at Yankee Stadium,09/30/2017 08:00:00 AM,09/30/2017 09:30:00 AM,Police Department,Athletic Race / Tour,Bronx," E 161 STREET between JEROME AVENUE and GRAND CONCOURSE,  EAST  161 STREET between JEROME AVENUE and GRAND CONCOURSE,  GRAND CONCOURSE between EAST  161 STREET and EAST MT EDEN AVENUE,  GRAND CONCOURSE between EAST MT EDEN AVENUE and EAST  165 STREET,  EAST  164 STREET between GRAND CONCOURSE and RIVER AVENUE,  RIVER AVENUE between EAST  164 STREET and EAST  161 STREET,  E 161 STREET between JEROME AVENUE and GRAND CONCOURSE",Full,Full Street Closure ,"4, ","44, "
340566,Athletic Event Non Sports ,09/16/2017 09:00:00 AM,09/16/2017 02:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Bowling Green Lawn ,,N/A,"64, ","22, "
340566,Athletic Event Non Sports ,09/23/2017 09:00:00 AM,09/23/2017 02:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Bowling Green Lawn ,,N/A,"64, ","22, "
340566,Athletic Event Non Sports ,09/30/2017 09:00:00 AM,09/30/2017 02:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Bowling Green Lawn ,,N/A,"64, ","22, "
340569,Athletic Event Non Sports ,10/09/2017 11:00:00 AM,10/09/2017 03:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Bowling Green Lawn ,,N/A,"64, ","22, "
340581,Rockaway Beach Civic Association 5K Run-walk,09/30/2017 09:00:00 AM,09/30/2017 11:00:00 AM,Parks Department,Special Event,Queens,Rockaway Beach and Boardwalk: Beach 106th Street Island ,,N/A,"14, ","100, "
351376,Aerobics Class,09/28/2017 06:00:00 AM,09/28/2017 08:00:00 AM,Parks Department,Special Event,Brooklyn,Paerdegat Park: Lawn ,,N/A,"17, ","67, "
340635,Harvest Home West Harlem Farmers Market,09/19/2017 07:00:00 AM,09/19/2017 04:00:00 PM,Street Activity Permit Office,Farmers Market,Manhattan,139 BROADWAY between WEST  138 STREET and WEST  139 STREET,East,Partial Sidewalk Closure ,"9, ","30, "
340635,Harvest Home West Harlem Farmers Market,09/26/2017 07:00:00 AM,09/26/2017 04:00:00 PM,Street Activity Permit Office,Farmers Market,Manhattan,139 BROADWAY between WEST  138 STREET and WEST  139 STREET,East,Partial Sidewalk Closure ,"9, ","30, "
340635,Harvest Home West Harlem Farmers Market,10/03/2017 07:00:00 AM,10/03/2017 04:00:00 PM,Street Activity Permit Office,Farmers Market,Manhattan,139 BROADWAY between WEST  138 STREET and WEST  139 STREET,East,Partial Sidewalk Closure ,"9, ","30, "
340635,Harvest Home West Harlem Farmers Market,10/10/2017 07:00:00 AM,10/10/2017 04:00:00 PM,Street Activity Permit Office,Farmers Market,Manhattan,139 BROADWAY between WEST  138 STREET and WEST  139 STREET,East,Partial Sidewalk Closure ,"9, ","30, "
340727,East New York Farms Farmers Market,09/16/2017 07:30:00 AM,09/16/2017 06:00:00 PM,Street Activity Permit Office,Farmers Market,Brooklyn, SCHENCK AVENUE between NEW LOTS AVENUE and LIVONIA AVENUE,Both,Full Sidewalk Closure ,"5, ","75, "
340727,East New York Farms Farmers Market,09/23/2017 07:30:00 AM,09/23/2017 06:00:00 PM,Street Activity Permit Office,Farmers Market,Brooklyn, SCHENCK AVENUE between NEW LOTS AVENUE and LIVONIA AVENUE,Both,Full Sidewalk Closure ,"5, ","75, "
340727,East New York Farms Farmers Market,09/30/2017 07:30:00 AM,09/30/2017 06:00:00 PM,Street Activity Permit Office,Farmers Market,Brooklyn, SCHENCK AVENUE between NEW LOTS AVENUE and LIVONIA AVENUE,Both,Full Sidewalk Closure ,"5, ","75, "
340727,East New York Farms Farmers Market,10/07/2017 07:30:00 AM,10/07/2017 06:00:00 PM,Street Activity Permit Office,Farmers Market,Brooklyn, SCHENCK AVENUE between NEW LOTS AVENUE and LIVONIA AVENUE,Both,Full Sidewalk Closure ,"5, ","75, "
340727,East New York Farms Farmers Market,10/14/2017 07:30:00 AM,10/14/2017 06:00:00 PM,Street Activity Permit Office,Farmers Market,Brooklyn, SCHENCK AVENUE between NEW LOTS AVENUE and LIVONIA AVENUE,Both,Full Sidewalk Closure ,"5, ","75, "
340781,Celebration,09/16/2017 06:00:00 PM,09/16/2017 07:00:00 PM,Parks Department,Special Event,Manhattan,Fort Tryon Park: Linden Terrace ,,N/A,"12, ","34, "
340847,High Line Design Tour,09/20/2017 06:00:00 PM,09/20/2017 07:15:00 PM,Parks Department,Special Event,Manhattan,The High Line: The High Line ,,N/A,"2, ","6, "
340848,High Line Garden Tours,10/12/2017 06:00:00 PM,10/12/2017 07:15:00 PM,Parks Department,Special Event,Manhattan,The High Line: The High Line ,,N/A,"2, ","6, "
340852,High Line Art Tour,10/09/2017 06:00:00 PM,10/09/2017 07:15:00 PM,Parks Department,Special Event,Manhattan,The High Line: The High Line ,,N/A,"2, ","6, "
340854,Athletic Event Non Sports ,09/19/2017 08:00:00 AM,09/19/2017 09:00:00 AM,Parks Department,Special Event,Manhattan,The High Line: The High Line ,,N/A,"2, ","6, "
340854,Athletic Event Non Sports ,09/26/2017 08:00:00 AM,09/26/2017 09:00:00 AM,Parks Department,Special Event,Manhattan,The High Line: The High Line ,,N/A,"2, ","6, "
340857,Make It,09/23/2017 10:00:00 AM,09/23/2017 01:00:00 PM,Parks Department,Special Event,Manhattan,The High Line: 14th Street Passage ,,N/A,"2, ","6, "
340858,Athletic Event Non Sports ,09/19/2017 09:30:00 AM,09/19/2017 10:30:00 AM,Parks Department,Special Event,Manhattan,The High Line: The High Line ,,N/A,"2, ","6, "
340858,Athletic Event Non Sports ,09/26/2017 09:30:00 AM,09/26/2017 10:30:00 AM,Parks Department,Special Event,Manhattan,The High Line: The High Line ,,N/A,"2, ","6, "
340995,Celebration,09/29/2017 10:00:00 AM,09/29/2017 12:00:00 PM,Parks Department,Special Event,Manhattan,"Central Park: Wagner Cove ,Central Park: Cherry Hill ",,N/A,"64, ","22, "
341088,Picnic ,09/23/2017 10:00:00 AM,09/23/2017 05:00:00 PM,Parks Department,Special Event,Queens,Baisley Pond Park: BBQ Area 3 Zone 03 ,,N/A,"12, ","113, "
341089,Farmers Market,09/16/2017 09:00:00 AM,09/16/2017 06:00:00 PM,Parks Department,Special Event,Manhattan,Jackie Robinson Park: Sidewalk ,,N/A,"10, ","30, "
341089,Farmers Market,09/19/2017 09:00:00 AM,09/19/2017 06:00:00 PM,Parks Department,Special Event,Manhattan,Jackie Robinson Park: Sidewalk ,,N/A,"10, ","30, "
341089,Farmers Market,09/23/2017 09:00:00 AM,09/23/2017 06:00:00 PM,Parks Department,Special Event,Manhattan,Jackie Robinson Park: Sidewalk ,,N/A,"10, ","30, "
341089,Farmers Market,09/26/2017 09:00:00 AM,09/26/2017 06:00:00 PM,Parks Department,Special Event,Manhattan,Jackie Robinson Park: Sidewalk ,,N/A,"10, ","30, "
341089,Farmers Market,09/30/2017 09:00:00 AM,09/30/2017 06:00:00 PM,Parks Department,Special Event,Manhattan,Jackie Robinson Park: Sidewalk ,,N/A,"10, ","30, "
341089,Farmers Market,10/03/2017 09:00:00 AM,10/03/2017 06:00:00 PM,Parks Department,Special Event,Manhattan,Jackie Robinson Park: Sidewalk ,,N/A,"10, ","30, "
341089,Farmers Market,10/07/2017 09:00:00 AM,10/07/2017 06:00:00 PM,Parks Department,Special Event,Manhattan,Jackie Robinson Park: Sidewalk ,,N/A,"10, ","30, "
341089,Farmers Market,10/14/2017 09:00:00 AM,10/14/2017 06:00:00 PM,Parks Department,Special Event,Manhattan,Jackie Robinson Park: Sidewalk ,,N/A,"10, ","30, "
