Date,DP_avg,DP_high,DP_low,Day,H_avg,H_high,H_low,P_avg,P_high,P_low,R_sum,T_avg,T_high,T_low,V_avg,V_high,V_low,W_avg,W_high,W_low,event,Month,Year,Date
2017-01-01,22.0,28.0,16.0,1,41.0,50.0,31.0,30.17,30.44,29.89,0.0,44.0,46.0,41.0,10.0,10.0,10.0,12.0,23.0,5.0,	,Jan,2017,2017-01-01
2017-01-02,34.0,38.0,23.0,2,83.0,96.0,51.0,30.41,30.5,30.26,0.2,38.0,39.0,37.0,7.0,10.0,2.0,15.0,23.0,9.0,Rain,Jan,2017,2017-01-02
2017-01-03,40.0,43.0,38.0,3,98.0,100.0,96.0,29.8,30.27,29.49,0.59,41.0,43.0,39.0,4.0,10.0,2.0,17.0,30.0,12.0,Rain,Jan,2017,2017-01-03
2017-01-04,34.0,42.0,10.0,4,74.0,100.0,30.0,29.52,29.73,29.44,0.0,44.0,52.0,34.0,9.0,10.0,5.0,17.0,31.0,6.0,	,Jan,2017,2017-01-04
2017-01-05,10.0,15.0,7.0,5,42.0,52.0,38.0,29.92,30.0,29.75,0.0,30.0,33.0,27.0,10.0,10.0,10.0,13.0,24.0,8.0,	,Jan,2017,2017-01-05
2017-01-06,18.0,25.0,7.0,6,66.0,92.0,39.0,30.04,30.27,29.92,0.05,29.0,33.0,25.0,6.0,10.0,0.0,10.0,16.0,5.0,"Fog	,Snow",Jan,2017,2017-01-06
2017-01-07,14.0,18.0,4.0,7,67.0,91.0,42.0,30.2,30.32,30.11,0.32,23.0,26.0,20.0,3.0,10.0,0.0,17.0,25.0,8.0,"Fog	,Snow",Jan,2017,2017-01-07
2017-01-08,4.0,8.0,0.0,8,52.0,68.0,35.0,30.34,30.6,30.16,0.0,21.0,25.0,16.0,10.0,10.0,8.0,18.0,30.0,9.0,	,Jan,2017,2017-01-08
2017-01-09,4.0,9.0,0.0,9,52.0,59.0,45.0,30.68,30.76,30.61,0.0,19.0,23.0,14.0,10.0,10.0,10.0,13.0,22.0,5.0,	,Jan,2017,2017-01-09
2017-01-10,22.0,39.0,9.0,10,63.0,82.0,43.0,30.49,30.64,30.19,0.0,34.0,46.0,21.0,10.0,10.0,10.0,14.0,24.0,5.0,	,Jan,2017,2017-01-10
2017-01-11,40.0,45.0,36.0,11,74.0,93.0,54.0,30.24,30.33,30.16,0.52,47.0,52.0,42.0,7.0,10.0,2.0,16.0,33.0,6.0,Rain,Jan,2017,2017-01-11
2017-01-12,50.0,52.0,46.0,12,78.0,93.0,63.0,30.07,30.16,29.97,0.05,57.0,66.0,47.0,10.0,10.0,5.0,16.0,24.0,8.0,Rain,Jan,2017,2017-01-12
